m,fb_cpp,bt_cpp,pd_cpp
3,8.210073333333334,0.19559733333333332,0.007395333333333334
5,71.35793333333334,1.4640733333333333,0.010110666666666665
8,217.75833333333333,1.2589433333333335,0.007351333333333334
10,318.94866666666667,0.31980233333333336,0.010741666666666668
15,580.143,0.7733196666666666,0.015528
20,828.6043333333333,0.5858426666666666,0.014277666666666666
30,,1.0290433333333333,0.019155666666666665
50,,1.4160366666666668,0.026992666666666665
